Number,Location,Author(s),Title,Publisher,Year,ISBN,Notes,Language,Resources,Related Materials,Media
507,Kilolo's office," Bindman, David, Henry Louis Gates, Jr., and Karen C. C. Dalton, eds."," The Image of the Black in Western Art, Volume III: From the ""Age of Discovery"" to the
Age of Abolition, Part 1: Artists of the Renaissance and Baroque",Cambridge: Belknap Press; Harvard University Press,2010,ISBN-13: 9780674052611 ISBN-10: 0674052617,Art History Reference,English," https://www.hup.harvard. edu/features/the-image-of-the-black-in-
western-art/",,Publisher website
508,Kilolo's office," Bindman, David, Henry Louis Gates, Jr., and Karen C. C. Dalton, eds."," The Image of the Black in Western Art, Volume III: From the ""Age of Discovery"" to the
Age of Abolition, Part 2: Europe and the World Beyond",Cambridge: Belknap Press; Harvard University Press,2011,ISBN-13: 9780674052628 ISBN-10: 0674052625,Art History Reference,English,https://www.hup.harvard. edu/features/the-image-of-the-black-in- western-art/,,Publisher website
509,Kilolo's office," Bindman, David, Henry Louis Gates, Jr., and Karen C. C. Dalton, eds."," The Image of the Black in Western Art, Volume III: From the ""Age of Discovery"" to the Age of Abolition, Part 3: The Eighteenth Century",Cambridge: Belknap Press; Harvard University Press,2011,ISBN-13: 9780674052635 ISBN-10: 0674052633,Art History Reference,English,https://www.hup.harvard. edu/features/the-image-of-the-black-in- western-art/,,Publisher website
510,Kilolo's office," Bindman, David, Henry Louis Gates, Jr., and Karen C. C. Dalton, eds."," The Image of the Black in Western Art, Volume IV: From the American Revolution to
World War I, Part 1: Slaves and Liberators",Cambridge: Belknap Press; Harvard University Press,2012,ISBN-13: 9780674052598 ISBN-10: 0674052595,Art History Reference,English," https://www.hup.harvard. edu/features/the-image-of-the-black-in-
western-art/",,Publisher website
511,Kilolo's office," Bindman, David, Henry Louis Gates, Jr., and Karen C. C. Dalton, eds."," The Image of the Black in Western Art, Volume V: The Twentieth Century, Part 1: The
Impact of Africa",Cambridge: Belknap Press; Harvard University Press,2014,ISBN-13: 9780674052673 ISBN-10: 0674052676,Art History Reference,English," https://www.hup.harvard. edu/features/the-image-of-the-black-in-
western-art/",,Publisher website
512,Kilolo's office," Bindman, David, Henry Louis Gates, Jr., and Karen C. C. Dalton, eds."," The Image of the Black in Western Art, Volume V: The Twentieth Century, Part 2: The
Rise of Black Artists",Cambridge: Belknap Press; Harvard University Press,2014,ISBN-13: 9780674052697 ISBN-10: 0674052692,Art History Reference,English," https://www.hup.harvard. edu/features/the-image-of-the-black-in-
western-art/",,Publisher website
513,D2," Njie, Njaimeh",This Is Where We Find Ourselves," Pittsburgh: Silver Eye Center for
Photography",2021,," Artist book
Photography Women artists Pittsburgh
Signed by the artist",English,https://www.njaimehnjie.com/,,Artist website
514,D2," King-Hammond, Leslie",Stephen Towns: A Path Between Two Continents,York: York College of Pennsylvania,2019,OCLC: 1241570009,Exhibition catalogue Painting,English," https://yorkcollegegalleries. com/2019/01/24/stephen-towns-a-path- between-two-continents-is-now-open- read-the-exhibition-introduction-by- esteemed-scholar-dr-leslie-king-
hammond/",,Exhibition website
515,D2," Lyford, Amy"," Isamu Noguchi's Modernism: Negotiating Race, Labor, and Nation, 1930-1950",Berkeley: University of California Press,2013," ISBN-13: 9780520298491
ISBN-10: 0520298497",Artist monograph Modern art American art Sculpture,English,https://www.noguchi.org/,,Museum website
516,D2," Jordan, Jeffrey L., Edward Pennick, Walter A. Hill, and Robert Zabawa,
eds.",Land and Power: Sustainable Agriculture and African Americans," Waldorf: Sustainable Agriculture
Research and Education Program",2009," ISBN-13: 9781888626148
ISBN-10: 1888626143"," Essays
African American History
Agricutlure",English,https://www.sare.org/resources/land-and-power/," See #505 Natalie Baszile, We Are Each Other's Harvest (2021)"," Organization website
E-book"
517,D2," Hyacinthe, Genevieve",Radical Virtuosity: Ana Mendieta and the Black Atlantic," Cambridge: MIT Press,",2019," ISBN-13: 9780262042703
ISBN-10: 0262042703"," Black Studies Women artists Contemporary art
Performance",English,https://www.anamendietaartist.com/,,Artist website
518,D2," Snorton, C. Riley",Black on Both Sides: A Racial History of Trans Identity,Minneapolis: University of Minnesota Press,2017," ISBN-13: 9781517901738
ISBN-10: 1517901731"," Black Studies
African American History Gender Studies",English,,,
519,D2," Terry, Bryant, ed."," Black Food: Stories, Art, and Recipes from
Across the African Diaspora",Berkeley; New York: 4 Color Books,2021," ISBN-13: 9781984859723
ISBN-10: 1984859722"," Black Studies
African Diaspora Food
Cookbook
Cooking",English," https://www.youtube.com/watch?
v=gAzsZuIXVp0 https://www.youtube.com/watch?v=g-
EQ-Go6OQs
https://www.bryant-terry.com/",," Video
Author website"
520,D2," Hossfeld, Johannes and Franziska Lukas, eds.",Ananias Léki Dago: mabati,Nairobi: Goethe-Institut Kenya; Native Intellegience,2013," ISBN-13: 9789966155344
ISBN-10: 9966155341"," Artist monograph Photography African art
Donated by Tyler Shine, Alma Lewis
Fellow",English,https://www.goethe. de/ins/ke/en/kul/ser/pub.html,,Publisher wesbite
521,D2," Diaz, José Carlos",Fantasy America,Pittsburgh: The Andy Warhol Museum,2021," ISBN-13: 9781735940205
ISBN-10: 1735940208"," Exhibition catalogue Contemporary art
Donated by Tyler Shine, Alma Lewis
Fellow",English,https://www.warhol. org/exhibition/fantasy-america/," See #160 Nona Faustine, Nona Faustine: White Shoes (2021)",Exhibition website
522,D2," Johnstone, Mark and Leslie Aboud Holzman",Epicenter: San Francisco Bay Area Art Now,San Francisco: Chronicle Books,2002," ISBN-13: 9780811835411
ISBN-10: 0811835413"," Contemporary art California
Donated by Tyler Shine, Alma Lewis Fellow",English,,,
523,D1," Ostrander, Tobias and Olive Senior; translated by María Eugenia Hidalgo and Blanca I. Paniagua",Ebony G. Patterson:...while the dew is still on the roses...,Miami: Pérez Art Museum Miami; Munich: DelMonico Books-Prestel,2019," ISBN-13: 9783791358802
ISBN-10: 3791358804"," Exhibition catalogue
Artist monograph Women artists Caribbean Art"," English
Spanish"," https://ebonygpatterson.com/
https://nasher.duke.edu/exhibitions/ebony-g-patterson-while-the-dew-is-still-on-the-roses/",," Artist website
Exhibition website"
524,D2," Casely-Hayford, Gus",The Lost Kingdoms of Africa: Discovering Africa's Hidden Treasures,London: Bantam Press,2012," ISBN-13: 9780593068137
ISBN-10: 0593068130",African Art African History Documentary,English,https://www.bbc.co. uk/programmes/b01bgnb1,," Documentary
Media outlet website"
525,D2," Martine, David Bunn; edited by Jennifer Tromski"," No Reservation: New York Contemporary
Native American Art Movement"," New York: American Indian Arts, Inc.",2017," ISBN-13: 9780989856546
ISBN-10: 0989856542"," Contemporary Art
Indigenous artists",English," https://amerinda.org/main/
https://artistsspace.org/programs/no-reservation",," Organization website
Video"
526,D1," Weber, Stefanie and Matthias Mühling, eds.",Senga Nengudi: Topologies,Munich: Hirmer,2019," ISBN-13: 9783777433684
ISBN-10: 3777433683",Artist monograph Women artists Contemporary art Exhibition catalogue,English German," https://www.lenbachhaus. de/en/visit/exhibitions/details/senga- nengudi
https://philamuseum. org/calendar/exhibition/senga-nengudi-",,Exhibition website
527,D1," Schaffner, Ingrid, et al.",Thaddeus Mosley,New York: Karma,2020," ISBN-13: 9781949172379
ISBN-10: 1949172376"," Artists monograph Exhibition catalogue Sculpture  Pittsburgh
Signed by the artist",English,https://karmakarma. org/artists/thaddeus-mosley/ https://karmakarma. org/exhibitions/thaddeus-mosley/,,Gallery website Exhibition website
528,Catalogued Box 1 Kilolo's office," Carpenter, Jane H.",Betye Saar,San Francisco: Pomegranate,2003," ISBN-13: 9780764923494
ISBN-10: 0764923498"," Artist monograph Women artists African American art
David C. Driskell Series on African American Art, vol. 2",English,," See #1 Charles Alston (2007)
[David Driskell Series vol. 1]; #88 Betye Saar: Still Tickin' (2017); #98 Betye Saar: Black Girl's Window (2019); #415 Betye Saar: Keepin' It Clean (2017)",
529," Catalogued Box 1
Kilolo's office"," Kim, Christine Y. and Rujeko Hockley, eds.",Julie Mehretu," New York: Whitney Museum of American Art; Munich, London, New
York; DelMonico Books Prestel",2019," ISBN-13: 9783791358741
ISBN-10: 379135874X"," Artist monograph
Women artists
African American art Exhibition catalogue Mid-career survey",English," https://www.lacma.org/art/exhibition/julie-mehretu
https://whitney.org/exhibitions/julie- mehretu",,Exhibition website
530," Catalogued Box 1
Kilolo's office"," Binstock, Jonathan and Josef Helfenstein"," Sam Gilliam: The Music of Color, 1967–1973",Cologne: Walther König,2018," ISBN-13: 9783960983408
ISBN-10: 3960983409"," Artist monograph 
Exhibition catalogue African American art Painting",English,https://kunstmuseumbasel. ch/en/exhibitions/2018/gilliam,,Exhibition website
531," Catalogued Box 1
Kilolo's office"," Feman, Seth and Jonathan Frederick Waltz",Alma Thomas: Everything is Beautiful,Columbus: The Columbus Museum; Norfolk: Chrysler Museum of Art; New Haven: Yale University Press,2021," ISBN-13: 9780300258936
ISBN-10: 0300258933"," Artist monograph
Exhibition catalogue Women artists African American art
Painting",English,https://www.almawthomas.org/alma-w-thomas/about-alma-w-thomas.html,,Exhibition website
532," Catalogued Box 1
Kilolo's office"," Fine, Ruth",Procession: The Art of Norman Lewis,Philadelphia: Pennsylvania Academy of the Fine Arts; Berkeley: University of California Press,2015," ISBN-13: 9780520288003
ISBN-10: 0520288009"," Artist monograph Exhibition catalogue African American art
Painting",English,https://www.pafa. org/museum/exhibitions/procession-art- norman-lewis,,Exhibition website
533," Catalogued Box 1
Kilolo's office"," Basualdo, Carlos, ed.",Barbara Chase-Riboud: The Malcolm X Steles,Philadelphia: Philadelphia Musuem of Art; New Haven: Yale University Press,2013," ISBN-13: 9780300196405
ISBN-10: 0300196407"," Artist monograph Exhibition catalogue Women artists African American art
Sculpture",English,https://w.philamuseum. org/calendar/exhibition/barbara-chase- riboud-the-malcolm-x-steles,,Exhibition website
534," Catalogued Box 1
Kilolo's office"," Platzker, David and Cherise Smith",Charles Gaines: Palm Trees and Other Works,Zurich: Hauser & Wirth Publishers,2020," ISBN-13: 9783906915463
ISBN-10: 3906915468"," Artist monograph Exhibition catalogue African American art
Conceptual art",English,https://www.hauserwirth.com/hauser- wirth-exhibitions/25281-charles-gaines- palm-trees-works/,,Exhibition website
535," Catalogued Box 1
Kilolo's office"," Epstein, Rebecca and Sybil Venegas",Laura Aguilar: Show and Tell," Los Angeles: UCLA Chicano Studies Research Center Press; Monterey Park: Vincent Price Art Museum, East Los Angeles College",2017," ISBN-13: 9780895511683
ISBN-10: 0895511681"," Artist monograph Exhibition catalogue Women artists
Latin American art LGBTQ artists Photography",English," https://vincentpriceartmuseum. org/exhibitions%EF%80%A2lauraaguilar. html
https://www.chicano.ucla. edu/research/laura-aguilar-show-and- tell
https://www.pacificstandardtime. org/lala/en/exhibitions/exhibit/view/Lau ra-Aguilar-Show-and-Tell.html",,Exhibition website
536," Catalogued Box 2
Kilolo's office"," Potts, Alex",Martin Puryear,New York : Matthew Marks Gallery,2015," ISBN-13: 9781880146880
ISBN-10: 1880146886"," Artist monograph
Exhibition catalogue
Sculpture",English," https://matthewmarks.com/exhibitions/martin-puryear-11-
2014
https://art21.org/artist/martin-puryear/"," See #9 Martin Puryear: Multiple Dimensions (2015); #14 Martin
Puryear (2007); #29 Martin
Puryear: Liberty/Libertà (2019)"," Exhibition website
Art21 website"
537                Catalogued Box 2," Catalogued Box 2
Kilolo's office"," Morgan, Jessica",Ellen Gallagher," Boston: Institute of Contemporary Art, Boton; New York: D.A.P/Distributed Art Publishers, Inc.",2001," ISBN-13: 9781891024313
ISBN-10: 1891024310"," Artist monograph
Exhibition catalogue Women artists",English," https://gagosian.com/artists/ellen-gallagher/ https://www.hauserwirth. com/artists/2783-ellen-gallagher/
https://art21.org/artist/ellen-gallagher/",See #16 Ellen Gallagher: AxMe -2013," Gallery website
Art21 website"
538," Catalogued Box 2
Kilolo's office",Mami Wata,Afro Surf,1st U.S. ed. New York: Ten Speed Press,2021," ISBN-13: 9781984860408
ISBN-10: 1984860402"," Surfing
African history and culture Photography
Travel literature",English,https://mamiwatasurf. com/pages/afrosurf https://mamiwatasurf.com/,,Company website
539," Catalogued Box 2
Kilolo's office"," Crippa, Elena, ed.",Frank Bowling,London: Tate Publishing,2019," ISBN-13: 9781849766289
ISBN-10: 1849766282"," Artist monograph
Exhibition catalogue Painting",English," https://www.tate.org.uk/whats-on/tate-
britain/frank-bowling"," See #321 Frank Bowling: Mappa
Mundi (2017)",Exhibition website
540,E3," Bell, Tiffany and Robert Storr",Ruth Asawa,New York: David Zwirner Books,2018,ISBN-13: 9781941701683 ISBN-10: 194170168X," Artist monograph Exhibition catalogue
Sculpture",English," https://www.davidzwirner. com/exhibitions/2017/ruth-asawa
https://ruthasawa.com/",See #24 Ruth Asawa: Life's Work (2019),Gallery website Artist estate website
541," Catalogued Box 2
Kilolo's office"," Bellorado-Samuels, Joeonna and
Toyin Ojih Odutola"," Toyin Ojih Odutola: The UmuEze Amara Clan
and the House of Obafemi",New York: Rizzoli Electa,2021," ISBN-13: 9780847870677
ISBN-10: 0847870677"," Artist monograph
Women artists",English,https://toyinojihodutola.com/,,Artist website
542," Catalogued Box 2
Kilolo's office"," Eshun, Ekow",Africa State of Mind: Contemporary Photography Reimagines a Continent,London: Thames & Hudson,2020," ISBN-13: 9780500545164
ISBN-10: 0500545162"," African art Contemporary art
Photography",English,,,
543,Kilolo's office," Wheat, Ellen Harkins",Jacob Lawrence: American Painter,Seattle: University of Washington; Seattle Art Musuem,1986," ISBN-13: 9780295970110
ISBN-10: 0295970111"," Artist monograph Biography Exhibition catalogue
African American art Painting
Donated by Marvin Touré
Ephemera included inside book",English,,,
544," Catalogued Box 2
Kilolo's office"," Al-Khudhairi, Wassan",Paul Mpagi Sepuya,New York: Aperture Foundation; St. Louis: Contemporary Art Museum St. Louis,2020," ISBN-13: 9781597114806
ISBN-10: 1597114804",Artist monograph Exhibition catalogue Photography,English,https://camstl.org/exhibitions/paul- mpagi-sepuya/,,Exhibition website
545," Catalogued Box 2
Kilolo's office",Shikeith,Shikeith: Notes towards Becoming a Spill,New York: Aperture Foundation,2022," ISBN-13: 9781597115230
ISBN-10: 1597115231"," Artist book
Photography",English," https://shikeith.com/notes-towards-
becoming-a-spill https://aperture.org/books/shikeith- notes-towards-becoming-a-spill/",," Artist website
Publsher website"
546," Catalogued Box 2
Kilolo's office"," Rosenfeld, Michael and Stanley Crouch",Bob Thompson: Meteor in a Black Hat,New York: Michael Rosenfeld Gallery,2005," ISBN-13: 9781930416338
ISBN-10: 1930416334"," Artist monograph Exhibition catalogue
Painting",English," https://www.michaelrosenfeldart. com/exhibitions/bob-thompson-meteor-
in-a-black-hat",See #5 Bob Thompson (1998),Exhibition website
547,Kilolo's office," Riggs, Thomas, ed.",St. James Guide to Black Artists,Detroit: St. James Press; New York: Schomburg Center for Research in Black Culture,1997," ISBN-13: 9781558622203
ISBN-10: 1558622209"," Reference
African and African Diaspora Art",English,,,
